team,window,rush_yds_games,rush_yds_mean,rush_yds_median,rush_yds_std,rush_yds_min,rush_yds_p25,rush_yds_p75,rush_yds_max,rush_yds_hit_20,rush_yds_hit_25,rush_yds_hit_30,rush_yds_hit_35,rush_yds_hit_40,rush_att_mean,rush_att_median,ypc_mean,rush_yds_hit_45,rush_yds_hit_55,rush_yds_hit_65,rush_yds_hit_75,rush_yds_hit_50,rush_yds_hit_60,rush_yds_hit_70,rush_yds_hit_80,rush_yds_hit_100,rush_yds_hit_120
NO,Full Game,17,94.29411764705883,84.0,34.60493794393809,44.0,79.0,108.0,189.0,,,,,,25.58823529411765,26.0,3.685057471264368,,,,,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.4117647058823529,0.23529411764705882
NYG,Full Game,17,129.11764705882354,130.0,30.745410662676292,68.0,117.0,155.0,172.0,,,,,,30.058823529411764,30.0,4.295499021526418,,,,,1.0,1.0,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.6470588235294118
NYJ,Full Game,17,123.29411764705883,110.0,51.092493642162296,64.0,81.0,144.0,254.0,,,,,,26.823529411764707,28.0,4.5964912280701755,,,,,1.0,1.0,0.8235294117647058,0.7647058823529411,0.5882352941176471,0.47058823529411764
PHI,Full Game,17,116.94117647058823,88.0,60.022025945613635,45.0,80.0,148.0,276.0,,,,,,28.11764705882353,27.0,4.158995815899582,,,,,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.7647058823529411,0.47058823529411764,0.4117647058823529
PIT,Full Game,17,103.29411764705883,100.0,51.23161329386418,34.0,64.0,131.0,230.0,,,,,,23.941176470588236,24.0,4.314496314496314,,,,,0.8823529411764706,0.7647058823529411,0.7058823529411765,0.5882352941176471,0.5294117647058824,0.35294117647058826
SEA,Full Game,17,123.29411764705883,122.0,40.19623146790571,50.0,88.0,155.0,198.0,,,,,,29.823529411764707,29.0,4.134122287968442,,,,,1.0,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.7058823529411765,0.5294117647058824
SF,Full Game,17,106.88235294117646,91.0,44.19060633869278,48.0,74.0,145.0,200.0,,,,,,28.294117647058822,31.0,3.7775467775467777,,,,,0.9411764705882353,0.8823529411764706,0.8235294117647058,0.5882352941176471,0.4117647058823529,0.35294117647058826
TB,Full Game,17,114.52941176470588,104.0,44.28001494109268,41.0,88.0,140.0,202.0,,,,,,27.764705882352942,27.0,4.125,,,,,0.9411764705882353,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.4117647058823529
TEN,Full Game,17,93.47058823529412,82.0,37.29866366800136,39.0,67.0,109.0,184.0,,,,,,22.235294117647058,21.0,4.203703703703703,,,,,0.9411764705882353,0.8823529411764706,0.7058823529411765,0.5294117647058824,0.35294117647058826,0.17647058823529413
WAS,Full Game,17,134.7058823529412,143.0,43.368143236145876,51.0,107.0,157.0,220.0,,,,,,28.470588235294116,28.0,4.731404958677686,,,,,1.0,0.9411764705882353,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.7058823529411765
